team name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time behind ball;time behind ball per game;time in front of ball;time in front of ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
CHARLOTTE;17;6;35.29;18194;1070.24;25;1.47;20;1.18;94;5.53;120;7.06;156;9.18;34;2;20.83;1227.94;150.33;123392;7258.35;79773;4692.53;43619;2565.82;972;57.18;3851;226.53;25878;1522.24;14218;836.35;11660;685.88;169;9.94;1033;60.76;2201.06;129.47;1615.66;95.04;19114;1124.35;17832;1048.94;2749;161.71;27244164;1602597.88;7646.05;449.77;7512.95;441.94;2930.86;172.4;10380.78;610.63;6619.65;389.39;1089.46;64.09;426.45;25.09;0;3670;215.88;13141.25;773.01;4948.68;291.1;12251.15;720.66;5838.75;343.46;9214.09;542.01;5497.21;323.37;3378.58;198.74;50;2.94;65;3.82
72PC;14;4;28.57;13002;928.71;13;0.93;11;0.79;70;5;97;6.93;118;8.43;32;2.29;13.4;1164.21;145.41;95327;6809.07;64574;4612.43;30753;2196.64;768;54.86;2669;190.64;22077;1576.93;13074;933.86;9003;643.07;153;10.93;768;54.86;1709.59;122.11;1420.25;101.45;11826;844.71;12351;882.21;2331;166.5;21426360;1530454.25;6589.79;470.7;6140.15;438.58;1932.66;138.05;8136.11;581.15;5715.9;408.28;810.56;57.9;362.5;25.89;0;3429;244.93;10182.41;727.32;4480.23;320.02;9323.35;665.95;5339.23;381.37;6757.65;482.69;4872.27;348.02;3032.7;216.62;38;2.71;46;3.29
G2 ESPORTS;13;9;69.23;14369;1105.31;33;2.54;29;2.23;46;3.54;115;8.85;81;6.23;20;1.54;28.7;1279.62;147.76;96466;7420.46;66554;5119.54;29912;2300.92;808;62.15;2549;196.08;24496;1884.31;13832;1064;10664;820.31;166;12.77;873;67.15;1843.38;141.8;1202.17;92.47;14102;1084.77;14455;1111.92;2878;221.38;20421976;1570921.25;5492.87;422.53;5673.56;436.43;2320.81;178.52;7414.67;570.36;5243.88;403.38;828.65;63.74;353.81;27.22;0;3255;250.38;9599.62;738.43;3887.61;299.05;8195.97;630.46;5291.22;407.02;5777.79;444.45;4620.07;355.39;3089.43;237.65;47;3.62;39;3
VERSION1;17;7;41.18;18602;1094.24;37;2.18;32;1.88;64;3.76;129;7.59;125;7.35;44;2.59;28.68;1199.53;152.91;127917;7524.53;89581;5269.47;38336;2255.06;1117;65.71;3377;198.65;30738;1808.12;19575;1151.47;11163;656.65;237;13.94;980;57.65;1916.61;112.74;1751.78;103.05;13094;770.24;22522;1324.82;4075;239.71;26982316;1587195;8785.85;516.81;7538.92;443.47;2534.68;149.1;10380.12;610.6;7357.62;432.8;1121.65;65.98;367.3;21.61;0;3452;203.06;13466.33;792.14;5393.1;317.24;11955.27;703.25;6904.1;406.12;8793.53;517.27;5985.4;352.08;4080.5;240.03;56;3.29;47;2.76
KC PIONEERS;17;7;41.18;18671;1098.29;32;1.88;26;1.53;87;5.12;127;7.47;142;8.35;41;2.41;25.2;1224.71;145.16;124331;7313.59;87328;5136.94;37003;2176.65;1058;62.24;3178;186.94;29282;1722.47;17609;1035.82;11673;686.65;204;12;995;58.53;2350.86;138.29;1674.25;98.49;16985;999.12;18373;1080.76;2716;159.76;26660572;1568269;8137.27;478.66;7684.03;452;2448.53;144.03;10867;639.24;6188.19;364.01;1214.7;71.45;404.94;23.82;0;3899;229.35;13035.23;766.78;5234.6;307.92;11312.67;665.45;6957.2;409.25;8091.49;475.97;6159.1;362.3;4019.29;236.43;55;3.24;52;3.06
ROGUE;19;8;42.11;23253;1223.84;40;2.11;29;1.53;111;5.84;166;8.74;178;9.37;47;2.47;24.1;1303;139.61;152981;8051.63;110132;5796.42;42849;2255.21;1301;68.47;3725;196.05;35387;1862.47;22160;1166.32;13227;696.16;261;13.74;1162;61.16;3257.73;171.46;2431.14;127.95;30023;1580.16;20093;1057.53;3961;208.47;31844668;1676035.12;9564.56;503.4;8218.48;432.55;3721.88;195.89;12408.91;653.1;7561.34;397.97;1534.57;80.77;431.22;22.7;0;4252;223.79;15175.62;798.72;6329.27;333.12;13613.08;716.48;7891.78;415.36;10014.47;527.08;6788.01;357.26;4702.39;247.49;92;4.84;49;2.58
JJ;14;5;35.71;13984;998.86;16;1.14;14;1;64;4.57;129;9.21;109;7.79;26;1.86;12.4;1346.86;139.32;116247;8303.36;79205;5657.5;37042;2645.86;937;66.93;3145;224.64;25444;1817.43;14402;1028.71;11042;788.71;171;12.21;953;68.07;2078.87;148.49;1399.1;99.94;22179;1584.21;14366;1026.14;2802;200.14;24037394;1716956.75;6256.58;446.9;6438.44;459.89;2872.9;205.21;9067.7;647.69;5582.68;398.76;917.51;65.54;375.57;26.83;0;3371;240.79;11458.82;818.49;4109.05;293.5;9932.46;709.46;5635.42;402.53;7173.51;512.39;5136.31;366.88;3258.09;232.72;62;4.43;31;2.21
SONIQS;20;10;50.00;22604;1130.2;46;2.3;36;1.8;89;4.45;170;8.5;152;7.6;44;2.2;27.06;1108.8;156.17;137972;6898.6;91475;4573.75;46497;2324.85;1139;56.95;4143;207.15;35655;1782.75;20883;1044.15;14772;738.6;255;12.75;1291;64.55;1943.59;97.18;2129.86;106.49;15774;788.7;22771;1138.55;4700;235;31774152;1588707.62;10742.55;537.13;8913.04;445.65;2685.58;134.28;12668.34;633.42;8340.84;417.04;1332;66.6;537.2;26.86;0;4981;249.05;15756.63;787.83;6584.58;329.23;14066.54;703.33;8274.62;413.73;10058.68;502.93;7503.17;375.16;4779.31;238.97;59;2.95;64;3.2
PPS;15;9;60.00;16817;1121.13;31;2.07;23;1.53;70;4.67;133;8.87;116;7.73;23;1.53;23.31;1214.53;137.98;108328;7221.87;75101;5006.73;33227;2215.13;881;58.73;2815;187.67;22211;1480.73;13654;910.27;8557;570.47;152;10.13;736;49.07;2291.84;152.79;1391.78;92.79;15066;1004.4;13067;871.13;1497;99.8;23138296;1542553.12;7764.04;517.6;6382.64;425.51;2087.19;139.15;9285.8;619.05;5873.28;391.55;1074.74;71.65;366.29;24.42;0;3550;236.67;11991.71;799.45;4242.09;282.81;10821.64;721.44;5412.19;360.81;8007.69;533.85;5172.97;344.86;3053.11;203.54;36;2.4;53;3.53
CONTINUUM;11;2;18.18;11648;1058.91;21;1.91;15;1.36;53;4.82;62;5.64;107;9.73;38;3.45;33.87;1119.18;141.97;74165;6742.27;52790;4799.09;21375;1943.18;644;58.55;1878;170.73;15855;1441.36;9698;881.64;6157;559.73;118;10.73;546;49.64;1444.8;131.35;1389.42;126.31;11110;1010;11732;1066.55;2201;200.09;17008386;1546216.88;5570.52;506.41;4727.5;429.77;1598.88;145.35;6872.83;624.8;4318.74;392.61;705.28;64.12;187.69;17.06;0;1642;149.27;8159.65;741.79;3737.24;339.75;8163.72;742.16;3733.15;339.38;6141.32;558.3;3727.52;338.87;2028.04;184.37;31;2.82;35;3.18
KNIGHTS;21;12;57.14;22929;1091.86;47;2.24;29;1.38;101;4.81;169;8.05;170;8.1;39;1.86;27.81;1139.9;152.8;143661;6841;95258;4536.1;48403;2304.9;1194;56.86;4264;203.05;29242;1392.48;16758;798;12484;594.48;203;9.67;1107;52.71;2107.06;100.34;2922.43;139.16;20615;981.67;24475;1165.48;3563;169.67;32282324;1537253.5;11383.43;542.07;8157.35;388.45;3286.83;156.52;13490.61;642.41;8009.81;381.42;1327.23;63.2;478.96;22.81;0;4307;205.1;17204.8;819.28;5622.77;267.75;15636.07;744.57;7191.51;342.45;11631.73;553.89;7338.36;349.45;3857.5;183.69;48;2.29;63;3
TEAM FRONTLINE;21;8;38.10;20238;963.71;29;1.38;24;1.14;97;4.62;134;6.38;165;7.86;40;1.9;21.64;1188.52;149.08;143109;6814.71;97701;4652.43;45408;2162.29;1156;55.05;3946;187.9;30224;1439.24;17977;856.05;12247;583.19;212;10.1;1051;50.05;2552.11;121.53;1585.33;75.49;14794;704.48;18386;875.52;3298;157.05;31349974;1492855.88;10487.32;499.4;8673.43;413.02;2724.45;129.74;12353.47;588.26;8117.93;386.57;1413.86;67.33;526.81;25.09;0;5662;269.62;16078.9;765.66;5806.31;276.49;14668.33;698.49;7216.93;343.66;10658.43;507.54;7139.46;339.97;4087.37;194.64;43;2.05;67;3.19
NRG;12;9;75.00;14277;1189.75;33;2.75;27;2.25;51;4.25;107;8.92;82;6.83;14;1.17;30.84;1191.67;154.54;81791;6815.92;57202;4766.83;24589;2049.08;705;58.75;2193;182.75;16242;1353.5;9120;760;7122;593.5;111;9.25;636;53;1151.47;95.96;1454.89;121.24;11323;943.58;13900;1158.33;2172;181;18075696;1506308;5399.52;449.96;4917.92;409.83;1971.32;164.28;6925.96;577.16;4596.11;383.01;766.59;63.88;281.31;23.44;0;3000;250;9177.85;764.82;3110.82;259.23;7879.6;656.63;4409.17;367.43;5779.75;481.65;3927.12;327.26;2581.84;215.15;36;3;41;3.42
ALPINE ESPORTS;20;12;60.00;24299;1214.95;47;2.35;34;1.7;104;5.2;180;9;158;7.9;32;1.6;26.11;1239.9;155.49;155207;7760.35;105247;5262.35;49960;2498;1278;63.9;4344;217.2;32705;1635.25;18995;949.75;13710;685.5;223;11.15;1197;59.85;2548.55;127.43;2584.13;129.21;25071;1253.55;23253;1162.65;3397;169.85;33638632;1681931.62;9878.93;493.95;9120.62;456.03;3662.29;183.11;12965.8;648.29;8216.49;410.82;1479.5;73.97;498.14;24.91;0;5112;255.6;16197.11;809.86;6464.71;323.24;14729.33;736.47;7932.48;396.62;10665.74;533.29;7480.03;374;4516.03;225.8;48;2.4;70;3.5
TEAM ENVY;11;9;81.82;11086;1007.82;22;2;13;1.18;43;3.91;94;8.55;70;6.36;14;1.27;23.4;1163;157.07;74825;6802.27;53345;4849.55;21480;1952.73;666;60.55;1874;170.36;17909;1628.09;11392;1035.64;6517;592.45;138;12.55;583;53;1227.21;111.56;1254.69;114.06;9081;825.55;13624;1238.55;2535;230.45;16796072;1526915.62;5207.19;473.38;4653.8;423.07;1589.68;144.52;6365.7;578.7;4353.5;395.77;731.54;66.5;261.41;23.76;0;1956;177.82;8608.88;782.63;2841.79;258.34;7025.93;638.72;4424.7;402.25;4983.58;453.05;3889.37;353.58;2577.72;234.34;38;3.45;27;2.45
SPACESTATION;10;9;90.00;14043;1404.3;29;2.9;25;2.5;72;7.2;91;9.1;94;9.4;13;1.3;31.87;1190.1;153.19;72044;7204.4;52411;5241.1;19633;1963.3;644;64.4;1705;170.5;14186;1418.6;8707;870.7;5479;547.9;102;10.2;468;46.8;1064.21;106.42;1701.71;170.17;10960;1096;12534;1253.4;1529;152.9;15494681;1549468.12;5063.12;506.31;4223.39;422.34;1500.18;150.02;6328.81;632.88;3803.51;380.35;654.43;65.44;227.21;22.72;0;2035;203.5;8125.23;812.52;2661.49;266.15;7231.03;723.1;3555.69;355.57;5448.29;544.83;3373.46;337.35;1964.99;196.5;35;3.5;25;2.5
